date,PETROLEUM ENERGY PRODUCTS CONSUMPTION BY FUEL-Motor Spirit
1980,542254
1981,589017
1982,644907
1983,690214
1984,754725
1985,783807
1986,822735
1987,874255
1988,940358
1989,989211
1990,1069662
1991,1066161
1992,1116531
1993,1187036
1994,1180097
1995,1157853
1996,1220068
1997,1276282
1998,1300373
1999,1245994
2000,1259601
2001,1103762
2002,1092482
2003,1098342
2004,1243675
2005,1330538
2006,1187530
2007,1147886
2008,1459570
2009,1527953
2010,1935678
2011,2257122
2012,2764843
2013,3353134
2014,3877984
2015,4754295
2016,5800350
2017,6737560
2018,7511280
2019,7685985
2020,7510363.858
2021,8515259
2022,9158934
2023,7564345
