date,PETROLEUM ENERGY PRODUCTS CONSUMPTION BY FUEL-Motor Spirit
1980,542254.0
1981,589017.0
1982,644907.0
1983,690214.0
1984,754725.0
1985,783807.0
1986,822735.0
1987,874255.0
1988,940358.0
1989,989211.0
1990,1069662.0
1991,1066161.0
1992,1116531.0
1993,1187036.0
1994,1180097.0
1995,1157853.0
1996,1220068.0
1997,1276282.0
1998,1300373.0
1999,1245994.0
2000,1259601.0
2001,1103762.0
2002,1092482.0
2003,1098342.0
2004,1243675.0
2005,1330538.0
2006,1187530.0
2007,1147886.0
2008,1459570.0
2009,1527953.0
2010,1935678.0
2011,2257122.0
2012,2764843.0
2013,3353134.0
2014,3877984.0
2015,4754295.0
2016,5800350.0
2017,6737560.0
2018,7511280.0
2019,7685985.0
2020,7510363.858
2021,8515259.0
2022,9158934.0
2023,7564345.0
2024,7451980.5
2025,7791831.5
2026,7857016.0
2027,7744409.0
2028,8097539.0
